titl,push,tag,text,date
台新黑狗紫狗核卡,1,3,"

[職業類別]：軍

[工作年資]：2年

[年齡]：25

[年收入]：700k

[財力證明]：薪餉單3個月

[是否貸款]：理財貸款剩餘140k

[持有信用卡額度]：
聯邦樂活御璽卡 80k
聯邦微風聯名卡 80k




[3個月內有無辦卡]：無
[審核額度]：80k
6/13 richart app申辦
6/16收到核卡簡訊
6/23收到卡片

心得:
之前爬卡版爬了好久
手上的聯邦偶數日回饋又很麻煩
工作關係時常沒時間放假
甚至一個月只有放兩天假
後來發現黑狗卡的回饋還滿方便的
加上台新現在也可以當薪轉戶了
開戶也順便辦了richart
原本以為卡片會很久才到因為簡訊說預計6至8週寄出
沒想到一個禮拜就收到了
算是繁忙工作中的小確幸吧ＱＱ
（核卡一段時間了今天終於有空發文......）

--
", 8/16
關於一卡通 回饋5% 的部分,7,-1,"

想請問  這個月我收到 帳單

發現已經沒有一卡通回饋5%的抵扣了,

前幾個月份 都會自動回饋.

是想說 這個優惠已經沒有了嗎?

之後上一卡通網站查詢, 發現 5%回饋是到6/30


想請問大家的情況也跟我一樣嗎? 謝謝

--
", 9/10
[情報] 華南 食在精彩 月月搖紅利 10月期,61,0,"

如題，
剛剛看已經可以參加10月份的搖紅利(條件是9月有刷一筆)


上個月抽到600點，這個月抽到300點，
不無小補。

我被問的問題是：
HappyCash & HAPPY GO聯名卡(愛戀紅)
日本消費回饋幾倍紅利？
答案：5倍

--
",10月6日
[心得] 自由業 花旗寰旅卡 快速核卡,5,5,"


[職業類別]: 自由業(跟銀行說是SOHO族或文字工作者)

[年齡]:31

[工作年資]: 職場3年 無業3年XD

[年收入]: 未填寫

[是否貸款]: 學貸150k/240k、遊學貸款 清償/120k

[可提供之財力證明]:

        無提供財力證明

        花旗行員說可直接調用 花旗智富管理帳戶的資料
        但是因為之前才把錢都轉到別家銀行，所以帳戶金額低於5萬。
        辦卡前一個月戶頭約有1萬美金，或是轉為台幣30萬上下。


[已持有卡片與額度]:

        之前在外商當工程師時，辦了3張信用卡，額度如下。

        ▲ 富邦數位生活卡 200k
        ▲ 澳盛白金飛行卡 150k→200k 幾個月後銀行主動來電調高額度
        ▲ 彰銀JCB晶緻卡 100k→50k 悠遊卡，主動跟銀行說想降低額度。

        後來，離開職場第一年左右沒有什麼收入。
        第二年開始接案，但是國內所得並不穩定，尚未到課稅標準。
        國外所得開始穩定進帳，目前累積兩年多期間，沒有勞保與上班公司。

        因此，一直不敢再去辦信用卡XD
        其他家銀行留我過去資料的都是還是優良信貸戶給超低利息，
        變自由業最低利率會直接調高頗多，所以就暫時沒有跟銀行有過多往來。

        考慮到澳盛飛行卡之後的政策可能不一定，想要多辦張里程累積卡。
        其實一直很擔心辦卡不會過，但是可能是有銀行帳戶的關係，行員很積極。


[核卡額度]: 花旗寰旅世界卡 100K

[申請進度]:

2017/08/10(四) 線上填申請單(花旗銀行戶專屬連結)
               提供身分證影本，財力證明則由行員說調閱銀行戶資料。

2017/08/15(二) 來電手機照會地址與市話
               因為我沒有市話，所以我地址填台北，市話填台東老家，
               銀行打來說，想要確定電話是否填寫正確，還是填錯號碼XD

2017/08/18(五) 核卡簡訊通知並掛號郵寄

出乎我意料的核卡速度，居然一周就好了。
但是我有銀行誠實的說，我的花旗只是中轉戶所以沒有太多資金。

核卡金額100k雖然不多，
但是使用自由業身分辦卡，覺得能過卡已經是萬幸了。

我不曉得是不是因為，我主要拿花旗銀行做為海外所得收款戶的原因。
所以大部分的資金都是美金，需要用錢時，才換成台幣。

第一次使用自由業身分辦卡+免附財力證明。
有花旗銀行戶頭的人，或許可以參考看看囉！


--
用理財環遊世界 


--


孩子XD 我在商周的文章不是業配，是他們轉分享我站內的文章喔！
我也很希望它們可以發稿費給我XDDD，麻煩妳去幫我爭取一下。

聽起來你說的是書單的那篇，那每本書都是我閱讀過的書，而且只是一小部分。
有的時候只看到表面的成功，卻沒看到別人背後的努力是很可悲的。加油。

你沒看到這篇的心得有寫我第一年剛開始吃土嗎XDDD



哈 沒事。



不過還是謝謝你幫我推回來。XDDD



謝謝鼓勵。 :)

雖然我不知道能不能真的爽爽過一生，
不過還是要很認真的過生活Q_______Q



我在海嘯後，買了基金賺了一波，賺到的錢又拿來投資自己念研究所與出國增加職能。
後期是投入股票市場，學習投資功課，並且還有理財規劃、資產配置。
而現在是進入到事業經營的階段，說真的，我從來不覺得這些比工作輕鬆。

倒是上班反而是我人生過程中，覺得整體壓力最小的階段。

我在06年開始觀察市場，08年海嘯後投入投資市場時，當時的氣氛還是很糟糕，
大部分的人都看衰，其實要承受的心理壓力跟你想像的的不一樣。

推薦你去看《托斯蘭尼的投機告白》這本書，期待你下次搶到一波。加油 :)



美卡是指美國運通嗎？我以前有一張，但是我剪卡了@@""

還是有別張推薦的卡？
我目前是澳盛飛行白金卡是主力，正在將消費轉移到花旗寰旅卡。



喔喔 那是我完全不熟悉的領域...Orz
我從學生時代就在卡版了，一路從VISA金融卡被推坑到現在4張信用卡了XD

未來有機會再研究XDDD



我通常會建議「先理財」，理財的10%收入做為投資用途。
但是月薪低於7萬的人，投資自己的比例應該要更大一些，增加自己的職能與本薪。

投資股票很難三言兩語講完，這畢竟是一門學問，有多種派別，
我自己是走財報分析與價值投資，但是也有人走技術分析做的很好。

所以還是要自己先去摸索自己適合甚麼策略比較好。
也有人就是只適合投資房地產，改投資股票就穩賠不賺的。
", 8/26
[心得] 澳盛現金回饋及元大鑽金,3,6,"


[申請卡別] 澳盛現金回饋卡、元大鑽金現金回饋卡

[職業類別] 金融相關行業

[目前工作年資] 2.3

[年齡] 25

[年收入] 填80萬

[提供財力證明] 近三個月薪轉（非固定薪平均60K)

[是否貸款] 否

[核卡額度] 澳盛260K、元大100K

[近三個月申請] no

[已持有卡片額度]
花旗 現金回饋 饗樂 120K
台新  玫瑰卡   80K

[辦卡進度]
澳盛：
9/1 線上填
9/4 接到電話補件通知（補身份證）
9/7 辦公室接到照會電話，詢問工作跟家裡地址
9/9 收到簡訊核卡
9/12 收到澳盛信用卡

元大
9/1 線上填
9/7 接到核卡通知 無照會
9/8 收到信用卡


[心得]
元大鑽金直接核卡未照會應該是因為是舊卡友。
因原Po時常出差代墊旅費，
剛開始工作有申請過元大鑽金，
這張真的讓剛出社會就要代墊的小菜鳥不平衡的心理好過點XDD
後來年資長了又調到一個不太能刷信用卡的國家，
就把信用卡停了，
現在回台灣又繼續申辦這張好物，還好核卡了。

澳盛：
朋友告知5%神卡，
預計以後差旅每個月澳盛先刷滿5000，
再刷元大鑽金1.2%，
是說澳盛核的額度這麼高有點嚇到XDD



--
", 9/13
Re: [討論] 大家明年會留國泰亞萬鈦商卡嗎？,5,0,"

借文問一下

這兩個月應該又是大部分卡的續卡期~~先前幫家人辦附卡的3000哩已經拿到了

去年八月辦時 加速器無上限真的很棒~~~但目前好像已無太大用處@@

不過apple pay的回饋好像還沒進來? 又綁了android pay 也要等10月後回饋

剛好八月又是生日月有刷了好幾筆  因為每筆有上限 所以刷很少


這期帳單收到年費提醒 ~~~目前卡在要想要等回饋   還是直接剪卡

算了一下假設等到android pay + 生日加速回饋 至少約要2~3個月後

若再續三個月的話 年費大概450元左右

目前看到鈦商卡的續卡禮 1200哩 (兩個月內回饋)

因為沒續卡經驗 想問這一年續卡有剪卡的板友~~

如果續卡後又剪卡 拿到的1200哩會被收回嗎??或是照比例收回呢?

(若是不收回的話 1200哩 相當於打平續三個月的年費)

希望有經驗的板友 能夠分享~~  謝謝~~



--
", 8/21
[心得] 元大/花旗/台新 永久額度調整,3,6,"

[職業類別]  商 (傳產)

[年齡] 26

[年收入] 約 750 K

[提供財力證明] 近六個月薪轉 活存約600K + 名下不動產證明

[是否有無貸款] 無

[三個月內申辦] 台新 Richart 帳戶開通

[已持有之信用卡]

元大 : 60K (鑽金JCB)

台新 : 100 K (黑紫GOGO+太陽鈦金)

花旗 : 100 K (現金回饋)

[調額結果]

元大 : 100K

台新 : 150K

花旗 : 200K

[過程]
09/25  下午六點  打電話給三家客服，e-mail 調額申請書（申請200K）

09/26  下午三點  台新簡訊通知成功調額。

09/28  下午四點  有打電話到元大客服確認，少傳調額申請書，馬上補寄

09/29  下午兩點  花旗簡訊通知成功調額。

10/02  下午六點  元大簡訊通知成功調額

[心得]

要先謝謝版上的所有前輩，所有關於信用卡上面的資訊都是在板上習得，非常感謝　！

因為常常在版上看到元大銀行對前輩們各種虐心的表現之後，小弟鼓起勇氣願前往一試！
　
最後調整結果也就不意外了ＸＤＤＤＤＤＤＤ

非主力的　花旗　在這次調整中出乎我的預料，給我百分百的漲幅（大感謝）

台新算是我的主力(常常致電到客服XDDDD)，調額的申請速度上非常神速，隔天就

收到簡訊了～

但是不知道為什麼

看到　元大　對我的永久額度調整簡訊，會讓我十分感動

儘管我申請的是　２０　萬　哈哈哈哈哈哈哈哈哈哈

最後還是要謝謝板上的前輩們無私地分享　謝謝！！！


--



花旗真的很大方耶 (讚
",10月3日
[閒聊] 疑似google chrome存卡號被盜刷,4,-1,"



剛剛收到台新銀行簡訊通知我消費五萬多

請我打電話跟客服確認

我才意識到我被(人生第一次)盜刷了

這張卡上一次消費是幾天前用android pay在全家消費

但應該不會是全家和android pay的問題


因最近有新申請一些卡+申請各種行動支付平台 安卓pay 卡德利 街口 twallet+

也有研究一些卡片優惠的資料

可能是某次用電腦google chrome申請登入優惠還是什麼平台的時後

不小心留下了卡號 才被盜刷

提醒大家現在google有""自動填入""表格功能  卡號最好不要留下呀


PS 現在還是想不起來是在哪個網頁填了卡號 印象很模糊...

--

更正一下是在全家消費 不是區臣氏
謝謝一樓的大大 當下有去這個網頁把自動填入關閉了 也刪除了cookie

請問一下 下半部有我存入的卡號
點連結之後會連到 google payment的頁面(不是google wallet)
google payment的卡號如果刪除了 andriod pay還可以使用嗎?

現在就是想不起來>< 去看流覽記錄也沒找到 但我有印象最近真的有輸入過

卡號是在自己的電腦輸入的 但昨天剛好有用公司電腦登入gogle chrome收信

最近兩個月只有上禮拜用3C市集的""APP""購物過 信用卡也不是被盜的那張
",10月13日
[問題] 上半年度華南銀行的淘寶網活動,4,-2,"



今天上半年華南有淘寶每周五刷888送88的活動
我2月份和4月份都各刷了900多元
2月份的回饋很快就入帳了
但是4月份的至今都沒有

剛剛去電客服卻表示
這個活動是1/1到6/30""活動期間只限回饋一次""
但是我印象中這活動應該是""每月回饋一次""
到底是真的我記錯了還是........>""<?

剛剛看了7月份開始的活動 也是每月回饋一次呀
請問是否有人對上半年的華南淘寶活動有印象
或是留有當時的活動頁面呢?

--
", 9/11
[心得]台灣AE長榮簽帳白金 轉 美版PRG(國際轉卡),20,2,"


[申請卡別]: 台灣AE長榮簽帳白金 轉 美版PRG

[提供財力證明]：年收填60K

[已持有之信用卡額度]: AE長白  預設額度:7X萬

                      合庫    額度:15萬

                      (只打出最高+最低額度卡片)


[核准額度]：0K

           (有測試出可以刷到2萬5千美 3萬美不行! 但實際上不敢亂刷怕觸發FR)


(大致)申請時間:


9/7  線上申請PRG+Blue cash everday

9/11 美國紐約CITI開戶

9/13 進線轉卡成功

9/18 朋友收到AMEX恭喜信再過2天收到卡片


心得:

 使用之前華南集的ANA里程開了一張EVA直飛JFK來回的票(早去晚回)順便度個假~

當天一到紐約曼哈頓有點早所以當天我就殺去CITI開戶之後再等2天我想說資料應該建檔了，

所以第3天一早就打去申請轉卡 經過一陣兵荒馬亂之後就成功轉卡且馬上收到E-MAIL!

心得打得很簡單但其實需要的資料很多我下面著重在於你所要注意的東西


1.美國銀行開戶:請先打電話或E-MAIL跟專員聯絡確認妳要帶哪些台灣證件是它們所認可的!

               請注意一個好的專員讓你上天堂，

               我這部分跟專員來回討論了好幾封信才做最後確認，

               請注意不同的專員有不同的""開戶審核準則""，你到現場專員不給你開

               你就走去其他家分行再TRY TRY到可以開為止

              (不限定一定要CITI 反正你只要驗證地址+繳費方便)

2.善用HANGOUT+申請免費美國電話或任何你習慣上手的可以打到美國通訊方式

3.一個美國朋友地址:可以是學弟妹或親戚家只要是美國境內即可(非貨運轉運地址)

4.如果你英文好就隨便挑間順眼的銀行走進去即可，

  如果否就GOOGLE當地的華人部落去哪裡的分行(我開戶從頭到尾都說中文)

  因為畢竟是放錢在國外很多眉角手續費問題我想一次問清楚，

  所以我去找可以講華語的專員務求一次搞定!

  (CITI 網頁可以找哪間分行專員可以講華語)

5.急著領卡的話你可以像我一樣在台灣就先線上申請取得REF號碼，

  之後美國開戶後馬上打去驗證!

  (補充:你如果想賭AE不驗證地址而嘗試著打去轉卡失敗的話，

  請在30天內補齊資料否則你的當次申請案件會失效)

6.沒有SSN或稅號可以嘗試辦的卡只有哪些:AE轉卡(一定可以)

  or boa123(可以搬磚試但不一定過 但肯定不需要ssn或稅號就可以辦)，

  我這次紐約citi的2位專員都堅持要有擇一才幫我辦卡....


7.美國銀行皆接受美運旅支，citi當天存隔天進帳!

8.美運不接受連續轉卡，轉卡限定一次!

  (專員告訴我請使用6個月後有信用歷史再來辦其他卡片

   因為我隔天再打要轉第2張被打槍 當天打2通 打2槍)

9.請記得在台灣刷offer，美國IP給的都不是很好，我在apple旗艦店刷offer XDDD

 (我刷出90天刷2千給5萬點，記得擷取畫面怕不被認帳)!

10.最後英文英聽和口說真的蠻重要的  苦笑.....

 偷閒發文 所以只著種在開戶細節和注意事項上，

 最後如果有想知道更仔細的部分可以站內信我或底下留言!

(我有留CITI和BOA專員聯絡方式 皆可以講中文)

謹慎理財 信用至上 106.9.28

1.統一回答專員聯絡信箱:
 李專員 (NY chinatown branch)

2.我後來就懶得弄blue cash這張卡，想說先養信用6個月再說

3.3個月算法我不清楚，我一定會提早刷滿 所以沒研究過@@

--
", 9/28
[問題] line pay 國外刷卡,8,0,"


因為最近要出國，

想說帶個信用卡在身上，

以免現金不夠用～

爬文看到說在國外刷卡也有3%回饋！

想請問各位大大：

是刷台幣才會有回饋？

還是刷當地貨幣也會有呢？


拜託有使用過的幫幫我        感謝～

--
", 8/13
[情報] 玉山可在全家刷卡 含8項代收,25,2,"

早上收到line訊息
發現板上無人分享




活動一  11/8-12/5 刷玉山卡大杯熱美式熱拿鐵第二杯半價(玉山Wallet不適用)
活動二  11/6-12/3 每週單筆消費60元滿2筆跟，贈20元全家現金抵用券
                  （每週每歸戶限乙次）

8項代收 含1.水電瓦斯費 2.電信費
          3.有線電視 4.停車費 5.學雜費
          6.繳稅/罰鍰(含燃料費)
          


又多了一個卡可玩





注意事項
1.於便利商店之交易 無紅利點數 現金 聯名卡之點數回饋
2.不適用刷卡繳費 銀行帳單(含信用卡費) 票券 愛心捐款 全家條碼繳費
                 保險(含人壽險 產險 強制險)
3.不適用 公司卡 採購卡
4.現金券於消費後次週五以 簡訊方式 發送序號
5.全家FamiPort列印兌換券期限至12/22，兌換券使用期限一週
6.debit卡不適用兩筆60元送20元活動

--



               對!!很適合金額小的~~

               可以喔!目前就jcb debit卡另外公布開放時間

               真的 ~ 銀幕記得調亮
",11月9日
Re: [問題] 什麼狀況下銀行會主動調額？,3,0,"


  以JCIC 的說明

  


  要培養信評分數，比較重要的面向除了
  1. 繳款正常
  2. 負債情形
  3. 其他類的就是
  3.1 聯徵次數
  3.2 持有信用卡中使用最長期間

  所以短時間內辦太多卡 扣分
  每張卡使用時間均不長 低分

  繳款正常應該全台八九成的人都是，沒什麼特別的
  辦多張卡對於信用分數沒有幫助。辦太多反而會扣分。
  銀行內部也自有評分方式，要是換成你，
  看到一個沒有過去的人這種辦卡方式，不會怕?
  相較於每個月需要想辦法維持很多卡有刷卡紀錄和繳費正常的人，
  銀行應該比較愛集中火力，不會逐水草而居的專情大戶

  另外.. 好過的卡額度低不是天經地義嗎?
  大戶才不會用庶民用有上限的數位生活卡呢，額度自然不用給太高啊
  而且你也沒說辦的是哪個等級。
  稍爬了一下，數位生活小白給五萬算正常的吧。
  慢慢培養感情讓對方好好認識你再加溫不好嗎，
  為什麼要急著一次衝本壘呢



:

:

:

:

:

:


--
", 7/30
[心得] 台新 gogo悠遊御璽卡 核卡,13,3,"


[申請卡別] 台新 gogo悠遊御璽卡

[職業類別] 內勤

[目前工作年資] 一年半

[年齡] 24

[年收入] 45萬

[提供財力證明] 截圖薪轉網銀3個月

[是否貸款] 無

[核卡額度] 15萬

[近三個月申請] 無

[辦卡進度]

9/7 12：00申請Richart帳戶+gogo卡
        15：00去銀行認證身份
        17：00收到簡訊開戶成功
9/8 台新打電話問截圖的銀行是哪間
        (因為我沒有截到是哪間銀行..)
        台新說會打去一銀確認是否為薪轉戶
9/11 簡訊通知核卡
9/14 受到實體卡片 (金融+信用卡)


補充：

持有卡片
-玉山 南山悠遊聯名卡 80k
-一銀 一卡通聯名卡 80k
-匯豐 現金回饋御璽卡 80k

第一張玉山是剛出社會不滿三個月時辦的
為了刷南山保險
後面兩張就都跟著玉山的80k了
一銀是工作上接觸到的同事請我辦
匯豐是朋友去匯豐做業務時辦的
所以台新是我第一張自主申請的卡片
沒想到這次核150k~

雖然不會發光
但還是超可愛的～～

--
", 9/15
[情報] 長榮聯名卡Fun暑假活動入帳,9,4,"


長榮聯名卡Fun暑假活動入帳

106/6/5至106/8/31，持國泰世華長榮航空聯名卡於指定旅遊類別消費

單筆消費達NT$1,000以上額外享每筆100哩回饋

累積消費每滿NT$30,000再額外回饋3,000哩，最高回饋50,000哩。

指定類別

長榮航空機上免稅品* 昇恆昌、采盟免稅店 及海外消費*

點數回饋明細上顯示為暑期促刷贈哩


心得

這活動只拿了12900哩 不過也還不錯加減當作續卡哩

五周年活動已經拿好拿滿10000哩了 坐等入帳   預計12月入帳

聯名卡活動真的不錯多 希望可以一直有活動下去

--
",10月3日
[心得] 匯豐現金回饋御璽卡 核卡,3,3,"


[職業]：業務助理

[工作年資]：1年8個月

[年齡]：25歲

[年收入]：填 46萬~55萬

[提供之財力證明]：近三個月薪資單

[是否貸款]：否

[已持有信用卡額度]：花旗現金回饋御璽卡 119,000元

[三個月內有無辦卡]：無

[申辦過程]：

 9/8  線上留下聯絡資訊，請專人聯絡

 9/11 下午  服務專員的來電，請她將申辦相關資訊mail到信箱
      當晚  線上完成信用卡申請

 9/12 中午  上傳 居住地證明文件（中華電信帳單）
                 近三個月薪資單
                 身分證正反面影本
                 信用卡申請確認函

      下午  服務專員來電，要求補件員工識別證（薪資單沒有公司抬頭）

            服務專員再來電，告知已送件
            核卡成功會發簡訊通知，若核卡失敗則會寄送紙本通知

 9/18 匯豐來電公司確認，詢問我是否為公司員工

 9/20 收到簡訊通知核卡成功，信用卡已於9/19日寄出

 9/21 收到卡片

[核卡額度]：110,000元

[心得]：

 目前一個月卡費約5,000元上下
 因為花旗有回饋的門檻，所以想再申辦回饋趴數較高的信用卡
 爬文後發現 匯豐 元大 這兩間比較符合我的需求

 這兩間我都有留資料請專人資訊
 但元大來電的口氣讓我感覺不是很好
 而且只能郵寄或臨櫃申辦
 最後就選擇線上申辦匯豐的信用卡

 不過未來還是會考慮入手一張 元大鑽金Master
 畢竟在國外刷匯率較優，且回饋無上限

 目前消費都會刷匯豐為主
 花旗就純粹當悠遊卡的功能使用

 以上分享
 感謝各位


--
", 9/22
[問題] 刷卡金額超過信用額度（溢繳）,10,0,"

剛剛爬過文但想到這種事情很謹慎想確認一下

近期要買相機，整組下來約28900$
PChome有花旗30期0利率

但礙於我是學生卡只能刷2萬

看到的溢繳好像是能先把多出來的金額存到卡裡
跟銀行方說明一下就可以刷下去分期了？

我這樣的理解是正確的嗎

如果是正確的那我存進去的錢能在刷下去之後領出來嗎（？

還是有這方面經驗的前輩的幫幫我OAQ

--
",10月23日
[心得] 小白 台新悠遊GOGO 超高效率核卡,2,7,"

[職業類別] 資訊科技

[工作年資] 1月

[年齡] 27

[年收入] 500k

[提供財力證明] 指定薪轉帳戶

[是否貸款] 無

[已持有卡片額度] 無

[三個月內有無辦卡] 無

[申請卡別] 台新GoGo悠遊御璽卡

[核卡額度] 50k


[過程]
9/4 填寫資料
9/5 專員送件，下午照會
9/6 早上9點收到核卡簡訊

[心得]
原本只是要換存摺，沒想要辦信用卡，也認為辦信用卡應該不會過，
後來專員說可以幫忙申辦，也很好心跟我說最好要辦幾張信用卡，
可以提早累積信用，以後貸款才有信用紀錄可查，比較好申請，
在這之前，我網路消費都是用台新VISA金融卡。

因為是指定薪轉帳戶，所以不用提供任何財力證明，
9/5是發薪水日，所以9/5再替我送件。

9/5下午照會到公司電話，詢問基本資料確認是否在職。
沒想到隔天9/6的早上就收到核卡簡訊，簡訊內也有寫是在9/5當天就核卡。
所以基本上從送件到核卡只花一天的時間..... 這效率實在太神速了!!!!!
還以為會花上一些時間。

就這樣很順利地脫離小白，拿到人生第一張信用卡。

--
", 9/07
Re: [問題] 租車/爭議款,3,0,"

恭喜妳成功解決這件事。
不過我有疑問關於你說沒有簽名扣款這點入爭議款。
據我所知租車都會刷押金，這個是需要簽名的。
之後有未滿油還是車損罰單行政處理費用，就會直接扣。
所以應該不存在沒有授權這件事。
不過租車公司在油表那邊欺騙的做法蠻可議的。

--
",11月4日
[心得] 中信LINE Pay卡 未核/台新gogo悠遊 核卡,11,4,"

[職業類別]: 醫療器材維修

[目前工作年資]: 11年

[年齡]: 33

[年收入]: 600K

[可提供財力證明]: 扣繳憑單

[已持有卡片額度]:

國泰世華Play悠遊 Visa 50K
富邦富利悠遊 MasterCard 80K
花旗透明 Visa 80K
樂天 JCB 100K

[有無貸款]: 房貸尚餘 900K

[最近三個月申辦卡片]:

9/11 中信LINE Pay卡
9/16 台新gogo悠遊

[核卡額度]: 台新gogo悠遊 200K

[申請流程]:

中信LINE Pay卡
9/11 前往分行填寫申請書
其實本來是打算網路申辦，
所以只是去幫家人拿申請書，
結果行員說現場寫一寫很快的，就...

期間無照會
9/14 網路查詢進度 未核
9/18 收到簡訊告知未達核卡標準

台新gogo悠遊
9/16 下載Richart APP 申辦Richart帳戶及gogo卡
並使用自然人憑證網路認證

期間無照會
9/18 12點收到成功開立Richart帳戶的Mail
9/18 17點收到台新貴賓您好棒簡訊
9/19 透過Richart APP查看額度為200K
9/21 掛號收到gogo卡

[心得]:

好久沒辦信用卡了XD
近期想說辦張新卡綁手機支付平日小額消費拿點回饋，
坦白說原本只鎖定中信LINE Pay卡，
純粹因為喜歡熊大加上月底前新戶有送行李箱 (喂XD
沒想到被打槍...
不過也謝謝中信打槍啦，
讓我有動力立馬申辦Richart帳戶+gogo卡，
申辦流程非常順利，
台新也非常迅速的核卡，
額度也比我想像中來得高XD

--
", 9/22
[討論] ANA聯名卡官網購票優惠是否很弱？,13,-3,"

ANA聯名卡不分卡別
官網購票 商務95折 經濟扣600
但是用序號購買
有時會跑出已為促銷價 不再折扣
那這張卡是？？？整個問號
年費根本白繳......


--
", 8/11
