,Unnamed: 0,Unnamed: 0.1,titl,link,push,auth,date,text,reply,date_new,predict_tag,final_push
125,125,8787,Re: [問題] 因意外短期無收入，卡債部分怎麼辦?,/bbs/creditcard/M.1496740049.A.0D0.html,7,isaacc, 6/06,"



身體先休養好



其實看不懂你的意思
你說只能付七成，是什麼的七成?
貸款4500不付就是違約，沒有甚麼七成
但信用卡你可以動用循環利息阿，只要繳低消就好了
差別就在利息可能6 8 10 12 15甚至20%
這樣都比""協商""要好
提供你參考

另外某些推文竟然噓人
我想這世界上天災人禍都不少
這位又是職災意外，能否多一點同情心呢?

--
",9,2017-06-06,0.2505697825077953,7
129,129,8791,Re: [問題] 因意外短期無收入，卡債部分怎麼辦?,/bbs/creditcard/M.1496742811.A.489.html,4,jerryxin, 6/06,"

協商的話
等於信用破產
所有信用卡都會終止
到你還完錢後五年才能跟銀行繼續往來
請慎重考慮
其實現在銀行還不錯
就是協商    所有銀行都不能在借
不像以前
根本是吸血鬼





--
世界最高瀑布 安赫爾瀑布



--
",4,2017-06-06,0.4246011040269447,4
130,130,8792,[問題] 國泰世華信用卡年費請益,/bbs/creditcard/M.1496746327.A.D9F.html,7,diorhommeego, 6/06,"

國泰世華信用卡最近才開始用

持有卡別：Costco 御璽卡

          亞洲萬里通 白金卡

版上爬文發現國泰世華的年費是歸戶(依等級高的卡)收取

持有Costco 御璽卡(costco會員)，白金(含)以下卡別免年費

因想將亞萬升為鈦商卡 (看年費都是$1800)

但找不到等級高低

想請問若亞萬的卡升為鈦商，是否就得繳交年費了?!

謝謝!!!

--
",8,2017-06-06,0.6244081093956974,7
138,138,8800,[問題] 花旗的信用卡申請進度查詢網頁,/bbs/creditcard/M.1496762346.A.F35.html,3,cakepupu, 6/06,"

請問花旗的信用卡申請進度查詢網頁是不是有問題

前幾天用網路申辦信用卡

昨天跟今天在申請進度查詢的地方有時候會顯示已進件且在處理中

有時候又顯示沒有我的申請資料...

也有人遇過同樣的問題嗎 ?

--
",6,2017-06-06,0.4509793421433942,3
142,142,8804,Re: [問題] 因意外短期無收入，卡債部分怎麼辦?,/bbs/creditcard/M.1496768837.A.F09.html,1,tppr3695, 6/07,"


小弟看到了你的問題，依照正常來說，你在休養期間應該會比你上班的時候領的還多，
根本足以完全處理你目前的問題。
首先，依照勞基法第59條，雇主必須負擔你三個月期間的薪資，不是投保薪資，是全薪
，再來就是必要的醫療支付。
以上還沒有追究雇主有無過失責任。以上講的都不含保險。

當然另一種情況，就是沒有投保，不過通常你有在用卡，而且會來這邊問這種事，代表
你信用正常，且在一家正常的公司上班。所以你會來問這樣的事想必你應該隱藏了某些
不想讓人知道的其他問題。



另外，休養期間，有什麼困難的，跟老闆開口應該不會有什麼太大的問題，金額不高。
就算是有幹有錢，沒幹沒錢那種，只要有受雇關係，就爭取全薪吧，如果你不好意思，
的話，就爭取一萬塊紓困，順便助長資方的違法行為。
--
Airbusxxx:請問我高速公路開快一點方向盤都會抖動，是要定位嗎？
tpcxxxxxxx:你那個是失速警報器，要在開快一點。

--
",3,2017-06-07,0.33619433040258023,1
151,151,8813,[問題] 無意間中了PayPal的DCC,/bbs/creditcard/M.1496808122.A.5AC.html,5,vyvian, 6/07,"


五月初的時候在紐西蘭網站購物。

網站只有支援用Paypal結帳。

而我沒有註冊Paypal,所以用Guest身分在Paypal的結帳頁面上輸入信用卡資料。

整個結帳過程都是顯示紐幣金額，沒有出現任何台幣金額。

一直到收到信用卡帳單才發現，請款幣別是用台幣(而且匯率無敵差，被多收了4%)

而且消費地顯示:SGP (入帳日當天Mastercard匯率是20.8,而Paypal匯率是21.7)

根本就是直接強制DCC,請問有什麼申訴管道嗎?

--
",7,2017-06-07,0.5771884654358242,5
160,160,8822,[問題] 銀行是否會認數位貨幣存款與中共當局的存,/bbs/creditcard/M.1496817834.A.CE6.html,3,qxxrbull, 6/07,"


我手上最近在台灣的銀行中
沒什麼台幣
但是在對岸的平安和廈門銀行有大概幾萬人民幣
然後手上還有十幾個乙太坊(eth)
預計八月底聯徵冷卻完畢之後要辦卡
拿這些資料銀行會承認嗎
有爬文過 似乎沒有人討論這種情況
如果不會了話我就要趕快提出來了

-----
Sent from JPTT on my LeMobile Le X820.

--
你讀書都~沒有辦法專心? Modafinil！  你是不是~又擔心會被二一?
教你面對所有挑戰 勇往前進~  We are the best solution！ gogogogo
考試輕鬆又Happy 我愛Modafinil！ 上台清交真Easy 我愛Modafinil！
吃了就能變聰明  我愛Modafinil！ 大家都崇拜~你 我愛Modafinil！
普衛醒 夢達飛寧錠 讓夢想達成飛向你！

--
",6,2017-06-07,0.23009033148233196,3
166,166,8828,[問題] SumsungPay解玉山家樂福首刷嗎？,/bbs/creditcard/M.1496829212.A.72D.html,1,fbifxxkma, 6/07,"

玉山家樂福 首刷禮 舊戶6萬點op

限定一定要在家樂福刷999元

假如我透過SumsungPay 去買1000元禮物卡

可以解首刷嗎?

--
",8,2017-06-07,0.6956223731440884,1
167,167,8829,[問題] 富邦數位生活卡的晶片,/bbs/creditcard/M.1496834628.A.F9B.html,2,sankaka, 6/07,"


有辦富邦數位生活卡的大家，
我最近才剛辦下來，
想請問一下，這張的晶片卡是悠遊卡的那種嗎?
因為最近才把它加入皮包，
結果發現，我去超商之類的刷悠遊卡結帳時，
每次都會被說你皮包內有兩張卡片，無法刷....
所以導致我每次刷悠遊卡，就一定手動拿悠遊卡出來刷...Orz
不過看這張數位生活卡的卡面，上面也沒有悠遊卡的圖樣?
這到底是正常的嗎?
謝謝。

--
",5,2017-06-07,0.28176199976232275,2
169,169,8831,[問題] 花旗舊戶用自然人憑證申請,/bbs/creditcard/M.1496841528.A.B36.html,0,famet, 6/07,"

大家好,
好像是老問題,
不過我爬文還是沒有解決,
所以再請教,
我是舊戶,
因為想要拿自然人憑證的寰旅世界卡加碼1000哩,
所以想使用自然人憑證辦卡,
可是一直跳出花旗貴賓辦卡,
然後就是OTP認證,
爬前面的文看到有人建議輸入錯誤電話號碼也是會用OTP,
是因為是否持有花旗正卡 我選""是""嗎?

先謝謝大家幫忙

--
",3,2017-06-07,0.3727597639352586,0
175,175,8837,[閒聊] 中信鼎極卡生日禮jia plus,/bbs/creditcard/M.1496844405.A.B7F.html,16,sj4, 6/07,"

今天收到中信鼎極卡寄來的生日禮券
跟之前大家分享的一樣是
Sisely化妝品的禮券跟JIA Plus的兌換禮

Jia plus的看之前有人兌換的官帽貪杯組
四個瓷杯還不錯 就去sogo想換

一到專櫃看到官帽貪杯組感覺真的還不錯
結果......店員跟我說，
不是那個，官帽貪杯組不能兌換了
三月多就改了
現在改成陶瓷烤盤
像這樣





然後兩個一組
有點重...一路去到sogo結果換這個回來
我自己是用不到
有點失望
而且三月多就不能換
如果早知道只能換這個應該是就不會去了

--
",21,2017-06-07,0.21485341998064528,16
179,179,8841,[問題] 帳單分期疑問,/bbs/creditcard/M.1496849057.A.3BD.html,5,danchai, 6/07,"

請問一下我上一期帳單分期設定10000分五期

假設一期要繳（2000+50）=2050

但繳款日還是透過銀行轉帳全額繳清（繳了10000）

這樣後續銀行還會跟我收分期的錢嗎？

還是只有利息的錢（50*5）=250

我擔心這樣會不會有重複繳款的問題？謝謝大家


",6,2017-06-07,0.4309892648603381,5
201,201,8863,Re: [心得] 106.4.27的黑狗狗拿到了,/bbs/creditcard/M.1496926900.A.F67.html,21,pseudo, 6/08,"

今天也拿到這張卡

但

這張卡背面簽名欄 竟然是黑色的...

我簽下去看不清楚 結果想說多畫幾筆加深一點

沒想到就糊了 有點像影分身那樣＝＝

然後 因為看不清楚 所以簽很慢 那個字跡變得根本不是我的字跡了 超工整

有解嗎...

補發要錢嗎 還是就不管他＝＝



--
",21,2017-06-08,0.19607952986244614,21
203,203,8865,[問題] 沒有在該公司刷卡，能退款到我的卡？,/bbs/creditcard/M.1496928192.A.ADE.html,13,he11o, 6/08,"



我有先爬過文了，但是找到的大多是付款給 A 公司 ，A 公司退款給我。
這種狀況是第一次遇到。

我在台灣買了一個背包，壞掉了，寄到美國公司 去維修 (免費)

對方答應退款我一部分的運費，但是方式有點令我不解

希望不是我對英文有誤解

對方是這麼說的

「
        We will credit you via a credit card or debit card of choice. Again, this will only be for ½ of the shipping.
        You will have to call us in order to process the credit of half of the shipping,
        since we do not take cards over email. Then when we send your item back, we will pay for the shipping back to you.
」


請問信用卡 or 簽帳卡 有提供這樣的退款功能嗎？
第一次聽到這樣子的退款方式，對方是蠻大的品牌，電話跟 email 都有確認過應該不會有問題才對
想再請教各位大大們確認一下！

￁臏숊
--
",17,2017-06-08,0.06965846589278905,13
206,206,8868,[問題] 刷卡0利率的問題,/bbs/creditcard/M.1496943502.A.121.html,0,CBTHSH, 6/09,"

想請問板上大神們
如果要在購物網站上刷卡且選擇0利率的話
像pchxxe 24h這種，分30期0利率的銀行只有花旗和台北富邦兩家

如果我是刷中信的信用卡一樣可以刷30期0利率嗎？
還是只能分30期而沒有0利率？？
又或者連30期都不給刷呢？（因為30期那欄只有花旗和台北富邦兩家而已）
謝謝

--

變成有息的話是還好，我比較怕變成一次入帳.......
",14,2017-06-09,0.6163527013485204,0
207,207,8869,[問題] 業務申辦或自行申辦的差異？,/bbs/creditcard/M.1496962414.A.E3B.html,12,RINPE, 6/09,"

最近公司所租的商辦一樓，常常看到元大的業務在擺攤

剛好最近對這間的卡很有興趣，

想請問業務申辦和自己印申請書申辦速度上會差很多嗎？

會想找業務是想試試不留公司電話（能接受打手機來）及申辦資料比較完整

麻煩各位解答了
話說也想知道，所謂近三個月薪資證明
我可以附上當月的薪資條影本就好了嗎？還是存款簿也要？
因為存款簿壞了，想說atm也看得到餘額，就懶得回去重辦一本

--
",21,2017-06-09,0.5582202353904384,12
222,222,8884,[問題] 國泰世界卡,/bbs/creditcard/M.1497006680.A.FF9.html,0,danmitsu, 6/09,"

大家好

小妹目前有國泰長榮極致無限跟好市多無限

這幾天有在網路上看到國泰世界卡

想請教各位大大 這張世界卡的權益跟上面那兩張有很大的差別嗎？在想說要不要辦

年刷70萬左右 謝謝

--
",13,2017-06-09,0.10353637218343988,0
228,228,8890,[問題] 國外交易手續費?,/bbs/creditcard/M.1497018587.A.40B.html,0,sanderwang, 6/09,"

我的主力卡幾乎都用花旗卡 我發現我用這張卡到訂房網站

trivago agoda airbub 帳單出來時都會多一筆國外交易手續費

請問這筆費用是每一家都會有的嗎 只要是台灣之外的其他網站消費

就會產生對嗎 謝謝大家

--
",16,2017-06-09,0.21428364646197415,0
235,235,8897,[問題] 關於元大APP查詢的申請進度?,/bbs/creditcard/M.1497062936.A.ACC.html,3,james7923, 6/10,"


小弟因為近期要刷海外

辦了一張元大鑽金Master

6/5(一)申請書投綠色郵筒
6/7(三)查聯徵，已有元大新業務
6/8(四)收到簡訊收件通知

簡訊如下




元大APP查詢進度




顯示已經「審核通過」

我都沒有接到照會電話

這樣APP查詢的進度準確嗎？

我看板上最近元大都蠻快就收到卡片了

所以我也有可能很快就能收到卡片囉？


-----
Sent from JPTT on my Sony G8142.

--
",5,2017-06-10,0.622762658016997,3
237,237,8899,機票代刷 意外賠償問題,/bbs/creditcard/M.1497063319.A.A37.html,0,kawaipiano, 6/10,"

知道這類的問題討論不少...

包括配偶子女父母以外對象認定，
包括行李延誤，不便或平安等認定...
包括刷多家算總賠償金額認定...

但有個問題沒找到任何答案

假設信用卡規定代刷不論對象也可以提供旅平險，或者簡單一點說...

太太幫先生刷機票，無子女，兩人都空難了，
兩人意外險都直接賠給太太的權益人？
太太的父母？ 先生的父母拿不到？




--
",11,2017-06-10,0.5385928556731,0
238,238,8900,花旗第一季團結紅利入帳,/bbs/creditcard/M.1497065247.A.9DD.html,16,wade690827, 6/10,"

蛋糕出爐了！可以上網銀看看吧

--
",19,2017-06-10,0.4326372997711671,16
244,244,8906,[問題] 信用卡簽名欄毀損,/bbs/creditcard/M.1497075751.A.E42.html,3,REN23, 6/10,"

今天不小心把簽名欄的白底刮掉了，姓名最後一個字也不見了一半，
目前可以看見簽名欄隱藏的字，請問這個情況還能繼續使用嗎?
還是要去換卡，會被要求換卡費嗎?

--
",6,2017-06-10,0.2846078431372549,3
245,245,8907,[問題] 卡不見剪卡?,/bbs/creditcard/M.1497077535.A.B8F.html,0,danny7373, 6/10,"

大家好，
因為查聯徵發現辦很多人情卡，
這種卡都沒開卡，
也亂丟造成找不到，
這樣不知道卡號有辦法剪卡嗎？

--
",8,2017-06-10,0.4667222343791533,0
249,249,8911,[問題] 國泰世華世界卡 12萬點紅利怎麼用最划算,/bbs/creditcard/M.1497083319.A.989.html,2,MDRZ7, 6/10,"


前幾天為了弄亞洲萬里通任務 查了一下最常使用的國泰世華世界卡  紅利目前總共有12
萬多點紅利

轉亞萬比例是4紅利：1里程 先轉了2000里解任務，長榮華航好像更難看7：1之類的

如果全轉亞洲萬里通 30,000里剛剛好可以換一張上海台北來回商務艙，個人覺得還算ok

不知道還有什麼方式可以妥善最大化這些紅利的價值呢？希望大家補充一下 感謝～～

原本還想說換個電子鍋 5000多塊錢的東西竟然要11萬點 還好沒換下去.......

-----
Sent from JPTT on my Sony F8332.

--
",4,2017-06-10,0.5043893345455371,2
252,252,8914,Fw: [問題] 網路刷玉山 debit 卡的匯率...,/bbs/creditcard/M.1497090909.A.7CC.html,5,ho2002, 6/10,"



作者: ho2002 (批踢踢特偵組) 看板: Bank_Service
標題: [問題] 網路刷玉山 debit 卡的匯率...
時間: Sat Jun 10 18:34:15 2017

我最近開始接觸 etoro 線上交易平台，

因為儲值要用信用卡，我印象中我以前用過玉山的 debit 卡搭 UBER 沒被收手續費

所以我昨天 (6/9) 就用玉山的 debit 卡儲值了 3000 鎂

看了一下被扣了 95006 NTD，所以匯率大約是 31.67

但我用玉山的匯率查詢，

3000 鎂折合台幣大約是 90xxx，等於我被多收將近 5000 元... orz

請問一下，刷卡的國外匯率應該要如何查詢？

中間的這個匯損是不是被玉山銀行賺走了？ (如果是手續費未免也太高？)

新手哭哭

--



= =??? 兩位大師有什麼建議嗎 QQ 不要嘲笑本魯阿 QQ

是說我手機收到的 95xxx 是預估值嗎?  因為我登入網銀還沒看到被扣$

好 >< 我研究一下

謝謝大師提點
",6,2017-06-10,0.2146646796356168,5
260,260,8922,[問題] 有關agoda訂房APP上面的敘述,/bbs/creditcard/M.1497126990.A.C54.html,7,z5419, 6/11,"

請問 Agoda訂房APP上面有些 有敘述說你選擇到店付款 裡面的解釋是說能對你的信用卡
進行預授權的驗證那是什麼意思啊




--
",9,2017-06-11,0.2775650406106747,7
261,261,8923,Re: [問題] 台新黑gogo消費有簡訊嗎？,/bbs/creditcard/M.1497140096.A.724.html,13,thsangster, 6/11,"


想借用標題問一下
Gogo附卡消費是不是都不會有通知啊？（不論簡訊、APP推播）

我記得之前想要用附卡資料申請APP，可是好像也不行的樣子

--
",16,2017-06-11,0.5035087160470284,13
262,262,8924,[問題] 請問一張中信卡，可以綁幾個LINE帳號？？,/bbs/creditcard/M.1497149527.A.304.html,2,tchnight, 6/11,"

請問一張中信卡，可以綁幾個LINE帳號？？請有在利的LINE PAY卡綁LINE PAY集點的大大
能提示一下，謝謝

--
",8,2017-06-11,0.5626033349633179,2
272,272,8934,[問題] 有關於國外刷卡後，持續扣款的事！,/bbs/creditcard/M.1497194199.A.F98.html,5,kunchhung, 6/11,"


已在八卦版po過，有前輩建議來此版問問看

原文~

小弟是電腦白痴，之前因Excel檔開不起來，就像下圖這樣~





結果就笨笨的花了新台幣308元 買了DLL SUITE想要解決，但是沒用（也有可能是我不會用?

第一個月信用卡帳單來，嗯308 元，我付了。

但下個月又來這一張，新台幣1220元~~





感覺好像每個月都會這樣一直要求付款下去耶~~

我問信用卡公司要怎麼處理，他要我自行找廠商，但是當初購買時，也沒有廠商的聯絡方式

請問各位電腦專家、大哥、前輩，我該怎麼做，才能不繼續被這樣一直扣款下去呢？？

麻煩各位電腦專家、前輩們，救救我，小弟感覺不盡，謝謝各位。

-----
Sent from JPTT on my Asus ASUS_Z00ED.

--
",12,2017-06-11,0.2649514272297794,5
283,283,8945,[問題] 台灣金屬卡,/bbs/creditcard/M.1497251887.A.CD1.html,20,evian520, 6/12,"

大家好

小弟有個簡單的疑問

大家都知道台灣人很凱

收入比人家低 但年費比其他國家高都願意繳

但為何就是沒有金屬卡呢？（黑卡以外）

我在美國辦chase 也是幾百塊年費就有藍色金屬卡了 在日本也看到蠻多金屬卡

但為何台灣就是沒有呢？例如長榮極致要兩萬年費也沒金屬卡

謝謝

--
",31,2017-06-12,0.2212091033398792,20
291,291,8953,Re: [閒聊] 中信大中華攜手飛聯名卡,/bbs/creditcard/M.1497272773.A.5B8.html,0,Vett, 6/12,"


華航購票通道




東航購票代碼




全球 5% off  - GCCMUA
兩岸 12% off - GCCMUD
商務艙+無限卡專用 15% off - GCCMUI

東航台灣官網專用...

用大陸的就沒有囉...(另~~大陸的本來就比較便宜哦..)



--
",1,2017-06-12,0.2141106922352388,0
292,292,8954,"[情報] HCE 臺銀任刷2筆送100,土銀任刷3筆送200",/bbs/creditcard/M.1497272948.A.A9A.html,6,operatorm, 6/12,"

t wallet+  HCE首次下載，這需要實體信用卡作引，才可下載HCE哦 XD

臺銀任刷2筆送100→


土銀任刷3筆送200→


有需要的請參考一下吧.....

--
",6,2017-06-12,0.6555799461761949,6
296,296,8958,[問題] 用他家信用卡消費紀錄申請另一家信用卡?,/bbs/creditcard/M.1497282069.A.CD2.html,7,rossleu, 6/12,"

剛剛想到好奇問一下
如果用中信的信用卡消費紀錄 去 申請另外一張信用卡
這樣辦得過嗎?

--
",10,2017-06-12,0.4753947814797586,7
307,307,8969,Re: [討論] 澳盛越來越難刷...,/bbs/creditcard/M.1497336539.A.A4D.html,2,Inado, 6/13,"

當初看到這篇文章的時候心裡也覺得只是剛好，

因為我自己辦，和使用家人附卡共計近一年半，

從來沒遇到刷卡失敗。

但昨天要在長庚醫院使用時卻失敗了
(試了兩次，過去刷了幾十次都沒失敗過)

剛好原po也有在醫療院所刷卡失敗的經驗，

所以想問一下版上各位前輩，

有在其他地方無法使用的經驗可以參考或分享嗎？



--
",9,2017-06-13,0.3542655031349288,2
325,325,8987,[問題] 在賣場辦卡,/bbs/creditcard/M.1497403300.A.87E.html,9,hiwi, 6/14,"

前幾天在家樂福被業務推銷
想說讓他做個業績辦了icash聯名卡當下就寫好申請書
不過今天還沒查到申請進度
不知道業務送件速度大概都多久？
（習慣線上申請感覺真不習慣XD

--
",13,2017-06-14,0.8284313437593575,9
335,335,8997,[問題] 信用卡旅平險~單程機票?,/bbs/creditcard/M.1497421249.A.A62.html,7,IUOIUOIUO, 6/14,"

請問版友，刷信用卡送的旅平險，如果只買單程會有送旅平險嗎??

因為兩個人出遊~去回買不同家航空，刷不同卡

去刷遠東  回刷中國信託

這樣保險是怎麼算??  感謝

--
",12,2017-06-14,0.38112669455930703,7
338,338,9000,[問題] 申辦富邦數位生活卡,/bbs/creditcard/M.1497426045.A.24A.html,7,frenzygod, 6/14,"

有鑒於在pchome越買越多

一直都用元大無腦在刷

經友人推薦後要來辦張富邦數位生活卡

於線上要申辦填資料時

赫然發現也有一欄可以填推薦人資料的

想請問網兄有沒有需要小弟填的請站內信給我

若今日6點前沒收到站內信

我就直接申辦囉


--
",11,2017-06-14,0.4134889834512738,7
